region_id,region_label,prefix,maker,maker_zh,maker_ja,maker_en,label_ja,code_read,pad,format,dmm_digit,status,notes,sources
japan_censored,日本有码,MDBK,BAZOOKA / バズーカ,Bazooka,バズーカ,BAZOOKA,,std3_dmm,3,{prefix}-{num},,active,本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MDE,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=352；集团:WILL集团（原CA/北都集团）；IPPA:010054,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDED,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=69,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDF,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=10；集团:WILL集团（原CA/北都集团）；IPPA:010054,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDG,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=18；集团:WILL集团（原CA/北都集团）；IPPA:010054,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDI,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=93；集团:WILL集团（原CA/北都集团）；IPPA:010054,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDJ,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=113；集团:WILL集团（原CA/北都集团）；IPPA:010054,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDJD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=7,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDLD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=107,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDM,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=46,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDON,Madonna / 麦当娜,Madonna / 麦当娜,マドンナ,Madonna,,std3_dmm,3,{prefix}-{num},,active,配信限定 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
